timestamp,price,volume
2023-11-19 00:00:00,36582.36844192274,8877846889.346693
2023-11-20 00:00:00,37413.99460790531,12599067947.734495
2023-11-21 00:00:00,37489.298470802016,16005284775.311718
2023-11-22 00:00:00,35965.36036068078,18891503534.641026
2023-11-23 00:00:00,37464.83293220907,25245202377.321384
2023-11-24 00:00:00,37293.316127426726,11956046626.60703
2023-11-25 00:00:00,37738.93169747125,22996708651.54232
2023-11-26 00:00:00,37809.85286625321,7505379785.011788
2023-11-27 00:00:00,37491.838186008135,10229112671.374176
2023-11-28 00:00:00,37250.16905148115,17979133247.880783
2023-11-29 00:00:00,37802.23604377473,19715537240.688644
2023-11-30 00:00:00,37810.34641654128,20964545194.804527
2023-12-01 00:00:00,37711.81837585267,16566770727.560837
2023-12-02 00:00:00,38688.25874179069,24470176251.56647
2023-12-03 00:00:00,39481.666416062864,14892418344.328642
2023-12-04 00:00:00,39960.275420410515,14107800648.629307
2023-12-05 00:00:00,41974.331772543344,40273974905.38232
2023-12-06 00:00:00,44105.94477259938,37740677039.99004
2023-12-07 00:00:00,43788.28880825234,30306637687.601166
2023-12-08 00:00:00,43270.11955970747,27712048105.023373
2023-12-09 00:00:00,44202.17610943621,24726661392.984177
2023-12-10 00:00:00,43745.49199189547,17074228506.041449
2023-12-11 00:00:00,43757.959937619176,11865167562.179707
2023-12-12 00:00:00,41200.96272610168,39734542163.66172
2023-12-13 00:00:00,41450.819387377436,24919333990.627098
2023-12-14 00:00:00,42931.76182603245,26301358636.124893
2023-12-15 00:00:00,43009.5954563739,22978695605.48269
2023-12-16 00:00:00,41992.01418722399,17134765249.072596
2023-12-17 00:00:00,42247.06788172229,13524832238.374014
2023-12-18 00:00:00,41410.819634575855,16536428696.461372
2023-12-19 00:00:00,42684.182554683386,26473040426.60815
2023-12-20 00:00:00,42250.206182797505,23402523667.558952
2023-12-21 00:00:00,43634.1241684964,28334648885.87903
2023-12-22 00:00:00,43849.69959939619,21948638202.58336
2023-12-23 00:00:00,44003.6960216438,20833936534.62855
2023-12-24 00:00:00,43752.03088478376,9872050975.657969
2023-12-25 00:00:00,43034.971063091514,18313974069.822754
2023-12-26 00:00:00,43638.236302200916,18744716867.39297
2023-12-27 00:00:00,42516.426940282516,20477744539.87234
2023-12-28 00:00:00,43418.46777504291,23244754807.443966
2023-12-29 00:00:00,42600.65063315619,20336573643.81929
2023-12-30 00:00:00,42074.70715618848,24832397519.050613
2023-12-31 00:00:00,42220.61140121376,14727224645.41767
2024-01-01 00:00:00,42208.202176186474,14183728910.169804
2024-01-02 00:00:00,44168.68118687473,16958999497.58364
2024-01-03 00:00:00,44994.67388689237,39089952715.542786
2024-01-04 00:00:00,42821.558989157995,43146162597.56747
2024-01-05 00:00:00,44195.57856209971,26123887042.79777
2024-01-06 00:00:00,44113.69973389081,29364675804.010384
2024-01-07 00:00:00,43956.12071720152,11841102132.239353
2024-01-08 00:00:00,43883.74387905174,15144653805.362787
2024-01-09 00:00:00,46936.185561217506,40821502383.50064
2024-01-10 00:00:00,46105.94607828697,39887918405.77868
2024-01-11 00:00:00,46632.31314804979,52030057180.57072
2024-01-12 00:00:00,46314.355541602694,49198128806.306175
2024-01-13 00:00:00,42893.92960550481,45913301456.05085
2024-01-14 00:00:00,42848.47451640749,19424747840.478386
2024-01-15 00:00:00,41800.93282193406,16968959097.076523
2024-01-16 00:00:00,42587.336038354406,22634527323.56315
2024-01-17 00:00:00,43148.00164342693,22023116042.275295
2024-01-18 00:00:00,42713.859186938986,21299064875.187115
2024-01-19 00:00:00,41261.39479801012,25160430945.289833
2024-01-20 00:00:00,41600.94093254464,24407872954.726807
2024-01-21 00:00:00,41626.10711003664,9533488489.00503
2024-01-22 00:00:00,41541.89945706261,8032696833.695371
2024-01-23 00:00:00,39504.73005758438,31202848830.101707
2024-01-24 00:00:00,39833.45410501688,29683327703.0343
2024-01-25 00:00:00,40123.67105847147,22217129215.385582
2024-01-26 00:00:00,39938.28644155878,13376924612.77818
2024-01-27 00:00:00,41862.9356109399,22681602408.52447
2024-01-28 00:00:00,42119.61049464309,10694258830.371908
2024-01-29 00:00:00,42026.57856232145,13669905344.783924
2024-01-30 00:00:00,43267.60927638767,20680322267.003654
2024-01-31 00:00:00,42892.03453014447,24526664209.358597
2024-02-01 00:00:00,42583.26354663417,22197944957.07849
2024-02-02 00:00:00,43069.043420936796,22443682768.722225
2024-02-03 00:00:00,43170.65856159975,18624791426.130833
2024-02-04 00:00:00,42976.84829990829,7779819312.310763
2024-02-05 00:00:00,42599.35997055978,11250814654.362
2024-02-06 00:00:00,42648.45692113544,18682275991.626797
2024-02-07 00:00:00,43087.78740814285,17131113853.23615
2024-02-08 00:00:00,44247.415415479314,21200879624.73537
2024-02-09 00:00:00,45338.271189789484,27709605138.49859
2024-02-10 00:00:00,47143.24299107112,41993952311.122856
2024-02-11 00:00:00,47768.995251247936,16461159742.317774
2024-02-12 00:00:00,48189.88179303987,13196875460.84672
2024-02-13 00:00:00,50050.13609456397,37684440686.70893
2024-02-14 00:00:00,49732.14536955351,37331081151.024765
2024-02-15 00:00:00,51790.16929752642,41805076939.80903
2024-02-16 00:00:00,51958.23029105492,31991869491.056656
2024-02-17 00:00:00,52166.43430976192,24850432117.896576
2024-02-18 00:00:00,51684.51749264525,19851884283.15723
2024-02-19 00:00:00,52138.48578873693,17025880430.565874
2024-02-20 00:00:00,51764.313185487765,22555121071.55909
2024-02-21 00:00:00,52286.79372554667,34499627551.319275
2024-02-22 00:00:00,51842.75676625642,30624246621.0974
